,SDID,SC,DID,MC,DIFP,DWCP
method,1.0,2.0,3.0,4.0,5.0,6.0
bias.baseline,0.017,0.009,0.045,-0.012,-0.05,0.004
rmse.baseline,0.025,0.025,0.047,0.032,0.069,0.03
bias.no_correlation,0.024,-0.038,0.033,-0.009,-0.091,0.011
rmse.no_correlation,0.166,0.138,0.142,0.172,0.374,0.305
bias.no_interactive,0.017,0.008,0.045,-0.012,-0.05,0.006
rmse.no_interactive,0.025,0.021,0.047,0.032,0.069,0.026
bias.no_fixed,0.002,0.001,0.002,-0.001,-0.003,0.005
rmse.no_fixed,0.017,0.015,0.012,0.015,0.036,0.027
bias.only_noise,0.002,0.001,0.002,-0.001,-0.003,0.003
rmse.only_noise,0.017,0.014,0.012,0.015,0.036,0.025
bias.no_noise,0.001,-0.0,0.043,-0.005,0.0,0.001
rmse.no_noise,0.001,0.0,0.043,0.015,0.0,0.015
bias.gun_law,0.014,0.006,0.041,0.021,-0.048,0.007
rmse.gun_law,0.023,0.023,0.042,0.039,0.068,0.027
bias.abort_law,0.013,0.009,0.043,-0.016,-0.051,-0.003
rmse.abort_law,0.025,0.024,0.045,0.031,0.076,0.024
bias.periods_one,0.004,0.006,0.034,-0.005,-0.035,-0.008
rmse.periods_one,0.042,0.047,0.05,0.041,0.117,0.045
bias.units_one,0.081,0.037,0.125,-0.02,-0.316,-0.006
rmse.units_one,0.105,0.059,0.13,0.09,0.321,0.063
bias.unit_period_one,0.004,0.005,0.05,-0.026,-0.229,-0.002
rmse.unit_period_one,0.13,0.119,0.116,0.128,0.255,0.113
